stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
602303,UNIV4,Universidades B2,3.36718333,-76.529395,0
602600,N.LATIR2,Nuevo Latir B1,3.41832444,-76.48674361,0
602601,N.LATIR1,Nuevo Latir A1,3.41847861,-76.48684028,0
612022,A3NC31,Av 3N entre Cl 31 y 30,3.47064083,-76.52206083,0
613142,C73K4,Cl 73 entre Kr 4 y 3,3.47123694,-76.48120722,0
614331,K28FC12C,Kr 28F entre Cl 122B y 122C,3.40229556,-76.473015,0
614403,T103K28B,Tr 103 entre Kr 28B y 28A,3.41419556,-76.47931111,0
614405,RPETM,Retorno Patio ETM,3.40540833,-76.47558611,0
614432,K28DC79,Kr 28D Con Cl 79,3.41856667,-76.48694639,0
614465,K26JC121,Kr 26J entre Cl 121 y 122,3.41813944,-76.46787056,0
4,PTP_SAL,Patio Taller Pizamos_Salida,3.40383472,-76.47622806,0
5,PPM_SAL,Puerto Mallarino,3.4304725,-76.47488111,0
6,PPM_ENT,Puerto Mallarino,3.4304725,-76.47488111,0
9,PVL-SAL,Patio Valle Lili,3.3588975,-76.51260778,0
10,PVL-ENT,Patio Valle Lili,3.35891611,-76.51249861,0
21,PCS-SAL,Patio Calima-Sameco Salida,3.4969925,-76.50469139,0
22,PCS-ENT,Patio Calima-Sameco Entrada,3.4969925,-76.50469139,0
41,PTP_ENT,Patio Taller Pizamos_Entrada,3.40379389,-76.47624833,0
500050,T.C-A1,T.Canaveralejo A1,3.41476833,-76.54962139,0
500051,T.C-A2,T.Canaveralejo A2,3.41454278,-76.54957278,0
500052,T.C-A3,T.Canaveralejo A3,3.41441444,-76.549365,0
500053,T.C-A4,T.Canaveralejo A4,3.41448667,-76.5491425,0
500054,T.C-A5,T.Canaveralejo A5,3.41466389,-76.5490925,0
500055,T.C-A7,T.Canaveralejo A7,3.41504694,-76.5489525,0
500056,T.C-A6,T.Canaveralejo A6,3.41486056,-76.54900667,0
500058,T.C-A8,T.Canaveralejo A8,3.41517861,-76.54891333,0
500060,T.C-A9,T.Canaveralejo A9,3.415325,-76.54896611,0
500061,T.C-A10,T.Canaveralejo A10,3.41536667,-76.54908306,0
500062,T.C-A11,T.Canaveralejo A11,3.41539444,-76.54923083,0
500063,T.C-A12,T.Canaveralejo A12,3.41530972,-76.54937333,0
500100,TMENGA1,Terminal Menga C1,3.48930667,-76.50904167,0
500101,TMENGA2,Terminal Menga C2,3.48910306,-76.5089375,0
500102,TMENGA3,Terminal Menga C3,3.48910667,-76.50828,0
500103,TMENGA4,Terminal Menga C4,3.4889,-76.50791,0
