OBJECTID,RECORRIDO,CODIGO,NOMBRE,SISTEMA,TIPO,EMPRESA,SHAPELEN
115,Origen-Destino,253D,Aures derecha,2A,Directa Centro,Palenque Robledal,8974.36539460429
116,Origen-Destino,253I,Aures izquierda,2A,Directa Centro,Palenque Robledal,9193.54469032179
117,Origen-Destino,253iA,Robledo Aures integrada,2A,Integrada,Palenque Robledal,8008.59571090386
119,Origen-Destino,254,Picacho,2A,Directa Centro,Transporte Medellín Castilla ,11846.5233511368
122,Origen-Destino,255,San Cristóbal - Doña María,2A,Directa Centro,Rápido San Cristóbal,12060.101581615
124,Origen-Destino,255iD,Metrocable La Aurora,2A,Integrada,Rápido San Cristóbal,7965.1442768863
125,Origen-Destino,255P,Palmitas-Centro,2A,Directa Centro,Rápido San Cristóbal,41967.6710462262
127,Origen-Destino,255V1D,San Sebastián Palmitas Centro,2A,Directa No Centro,Rápido San Cristóbal,15143.8177309487
128,Origen-Destino,255V2,Vereda Yolombó - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,7695.35221779432
129,Origen-Destino,255V3 ,Derecha Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,13132.8223726638
130,Origen-Destino,255V3,Izquierda Vereda Boquerón - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,7265.21989024781
131,Origen-Destino,255A,Nuevo Occidente El Tirol,2A,Directa Centro,Rápido San Cristóbal,15312.0419440443
132,Origen-Destino,255A,Las Flores-Moravia-Centro,2A,Directa Centro,Rápido San Cristóbal,16822.3560320761
123,Origen-Destino,255i,Metrocable Aurora-Cárcel,2A,Integrada,Rápido San Cristóbal,5551.51164984743
126,Origen-Destino,255V1 ,Vereda El Llano - Parque San Cristóbal,2A,Directa No Centro,Rápido San Cristóbal,3040.12503912738
141,Origen-Destino,255V,Vereda La Suiza-La Frisola-La Guayabala-La Volcana,2A,Directa No Centro,Rápido San Cristóbal,9520.75386132254
142,Origen-Destino,255V,Vereda La Aldea,2A,Directa No Centro,Rápido San Cristóbal,5206.17241971161
145,Origen-Destino,254iB,Pilarica,2B,Integrada,Transporte Medellín Castilla ,5271.91251307821
146,Origen-Destino,261,Alfonso López Calle 94,2B,Directa Centro,Transporte Medellín Castilla ,8611.85111524258
147,Origen-Destino,261i Der,Derecha Castilla - Estación Universidad,2B,Integrada,Transporte Medellín Castilla ,5074.64625046455
148,Origen-Destino,261i Izq,Izquierda Castilla - Estación Universidad,2B,Integrada,Transporte Medellín Castilla ,5770.50908729316
149,Origen-Destino,261ii,Estación Tricentenario,2B,Integrada,Transporte Medellín Castilla ,3645.80289313933
160,Origen-Destino,283,Barrio Nuevo - Carrera 70,2B,Directa Centro,Transporte Medellín Castilla ,10022.7515079042
161,Origen-Destino,283i,Florencia-estación Acevedo,2B,Integrada,Transporte Medellín Castilla ,3504.65323557134
162,Origen-Destino,284,Barrio Nuevo - Carrera 74,2B,Directa Centro,Transporte Medellín Castilla ,13287.5490029309
163,Origen-Destino,289,Pilarica Calle 96,2B,Directa Centro,Transporte Medellín Castilla ,9888.18712964986
164,Origen-Destino,306A,Izquierda - Circular Noroccidental,2B,Integrada,Transporte Medellín Castilla ,7271.3320860625
167,Origen-Destino,Anillo 1 Carrera 65,Carabobo - Av. de Greiff,2B,Directa Centro,Transporte Medellín Castilla,7758.41975215614
168,Origen-Destino,Anillo 3AH Carrera 65,Alpujarra - Oriental sentido antihorario,2B,Directa Centro,Transporte Medellín Castilla,10807.6999355848
169,Origen-Destino,Anillo 3H Carrera 65,Alpujarra - Oriental sentido horario,2B,Directa Centro,Transporte Medellín Castilla,8979.67475081106
165,Origen-Destino,306B,Derecha - Circular Noroccidental,2B,Integrada,Transporte Medellín Castilla ,8733.50072426746
