"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"306B","Sitva-14","306B","Derecha - Circular Noroccidental","Integrada","3","","","",""
"402","Sitva-14","402","Transversal Occidental","Directa Centro","3","","","",""
"263","Sitva-14","263","12 de Octubre - Calle 90","Directa Centro","3","","","",""
"263i","Sitva-14","263i","12 de Octubre - Estación Tricentenario","Integrada","3","","","",""
"263ii","Sitva-14","263ii","12 de Octubre - Estación Tricentenario","Integrada","3","","","",""
"265","Sitva-14","265","Castillita","Directa Centro","3","","","",""
"270i","Sitva-14","270i","Gratamira-Estación Acevedo","Integrada","3","","","",""
"280","Sitva-14","280","Santander - Carrera 73","Directa Centro","3","","","",""
"280 Directa","Sitva-14","280 Directa","Santander - Carrera 73","Directa Centro","3","","","",""
"281","Sitva-14","281","Florencia","Directa Centro","3","","","",""
"282","Sitva-14","282","Doce de Octubre - HPTU","Directa Centro","3","","","",""
"170","Sitva-15","170","Belén Las Playas","Directa Centro","3","","","",""
"172","Sitva-15","172","Belén La Gloria","Directa Centro","3","","","",""
"178","Sitva-15","178","Belén La Nubia","Directa Centro","3","","","",""
"130A","Sitva-2","130A","Poblado Parque alterna","Directa Centro","3","","","",""
"130i","Sitva-2","130i","Industriales - Aguacatala","Integrada","3","","","",""
"132","Sitva-2","132","Poblado Éxito directa","Directa Centro","3","","","",""
"130","Sitva-2","130","Poblado Parque directa","Directa Centro","3","","","",""
"Anillo 3H Carrera 65 Horario Esp","Sitva-14","Anillo 3H Carrera 65 Horario Esp","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
"Anillo F1 Carrera 65","Sitva-14","Anillo F1 Carrera 65","Av. Greiff - Puente Horacio Toro","Directa Centro","3","","","",""
"Anillo F2 Carrera 65","Sitva-14","Anillo F2 Carrera 65","Av. Regional - San Diego","Directa Centro","3","","","",""
"Anillo F3 Carrera 65","Sitva-14","Anillo F3 Carrera 65","Parque Los Periodistas","Directa Centro","3","","","",""
"Anillo 1 Carrera 73","Sitva-14","Anillo 1 Carrera 73","Carabobo - Av. Greiff","Directa Centro","3","","","",""
"Anillo 2 Carrera 73","Sitva-14","Anillo 2 Carrera 73","El Hueco - Parque Berrío","Directa Centro","3","","","",""
"Anillo 3ah Carrera 73","Sitva-14","Anillo 3ah Carrera 73","Alpujarra - Oriental sentido antihorario","Directa Centro","3","","","",""
"Anillo 3h Carrera 73","Sitva-14","Anillo 3h Carrera 73","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
"Anillo F1 Carrera 73","Sitva-14","Anillo F1 Carrera 73","Av. Greiff - Puente Horacio Toro","Directa Centro","3","","","",""
"Anillo F3 Carrera 73","Sitva-14","Anillo F3 Carrera 73","Parque Los Periodistas","Directa Centro","3","","","",""
"132A","Sitva-2","132A","Poblado Éxito alterna","Directa Centro","3","","","",""
"132i","Sitva-2","132i","La Visitación, Oviedo, U. Eafit","Integrada","3","","","",""
"132iA","Sitva-2","132iA","La Visitación, Oviedo, U. Eafit alterna","Integrada","3","","","",""
"132ii","Sitva-2","132ii","Aguacatala - Poblado - Av. 34","Integrada","3","","","",""
"135","Sitva-2","135","Poblado Campestre","Directa Centro","3","","","",""
"135i","Sitva-2","135i","Los Yarumos San Lucas","Integrada","3","","","",""
"135ii","Sitva-2","135ii","Patio Bonito","Integrada","3","","","",""
"136","Sitva-2","136","San Lucas - Las Palmas","Directa Centro","3","","","",""
"136A","Sitva-2","136A","Colinas del Viento - La Isla","Directa Centro","3","","","",""
"97","Sitva-16","97","Quintalinda-El Vergel","Directa No Centro","3","","","",""
"99","Sitva-17","99","Cerros de Quintalinda","Directa Centro","3","","","",""
"099 Horario Esp","Sitva-17","099 Horario Esp","Cerros de Quintalinda","Directa Centro","3","","","",""
"136ii","Sitva-2","136ii","Las Palmas - CES","Integrada","3","","","",""
"287","Sitva-2","287","Terminal de Transporte Norte","Directa Centro","3","","","",""
"133","Sitva-2","133","Poblado San Lucas directa","Directa Centro","3","","","",""
"133D","Sitva-2","133D","San Lucas directa","Directa Centro","3","","","",""
"133i","Sitva-2","133i","San Lucas","Integrada","3","","","",""
"133ii","Sitva-2","133ii","Campestre, ISA, Loma de Los González","Integrada","3","","","",""
"133iiA","Sitva-2","133iiA","Balsos La Y","Integrada","3","","","",""
"134","Sitva-2","134","Poblado - El Tesoro - La Chacona","Directa Centro","3","","","",""
"134i","Sitva-2","134i","La Y","Integrada","3","","","",""
"134iA","Sitva-2","134iA","CES, Chuscalito, Chacaltaya","Integrada","3","","","",""
"134Y","Sitva-2","134Y","Poblado - El Tesoro - La Y","Directa Centro","3","","","",""
"2","Sitva-3","2","Santa Rita -Zamora","Directa Centro","3","","","",""
"6","Sitva-18","6","La Francia","Directa Centro","3","","","",""
"22","Sitva-19","22","Santa Cruz - Terminal","Directa Centro","3","","","",""
"23","Sitva-19","23","Popular N° 1","Directa Centro","3","","","",""
"041D","Sitva-19","041D","Aranjuez anillo derecha","Directa Centro","3","","","",""
"041I","Sitva-19","041I","Aranjuez anillo izquierda","Directa Centro","3","","","",""
"42","Sitva-19","42","Aranjuez intermedia","Directa Centro","3","","","",""
"24","Sitva-19","24","Playón de los Comuneros","Directa Centro","3","","","",""
"24","Sitva-19","24","Playón de los Comuneros - Oriental","Directa Centro","3","","","",""
"102","Sitva-20","102","Ávila-Iglesia Cataluña","Directa Centro","3","","","",""
"102A","Sitva-20","102A","Pablo Escobar-Cataluña","Directa No Centro","3","","","",""
"111","Sitva-21","111","El Salvador derecho","Directa Centro","3","","","",""
"111","Sitva-21","111","Quintas del Salvador","Directa Centro","3","","","",""
"112","Sitva-22","112","Las Palmas","Directa Centro","3","","","",""
"113M","Sitva-21","113M","Pablo E.","Directa Centro","3","","","",""
"113","Sitva-21","113","Ávila - Cataluña","Directa Centro","3","","","",""
"031 P-C","Sitva-23","031 P-C","Popular Centro","Directa Centro","3","","","",""
"031 P-F","Sitva-23","031 P-F","Popular Ferrocarril","Directa Centro","3","","","",""
"080 V-M","Sitva-24","080 V-M","Villa Hermosa - La Mansión","Directa Centro","3","","","",""
"080 V-O","Sitva-24","080 V-O","Villa Hermosa - La Mansión-Directa Oriental","Directa Centro","3","","","",""
"81","Sitva-24","81","Villa Hermosa - Derecho","Directa Centro","3","","","",""
"082 V-LA","Sitva-24","082 V-LA","Villa Hermosa - Los Ángeles","Directa Centro","3","","","",""
"082 V-LAD","Sitva-24","082 V-LAD","Villa Hermosa - Los Ángeles - Directa","Directa Centro","3","","","",""
"85","Sitva-25","85","La Honda","Directa Centro","3","","","",""
"55","Sitva-26","55","El Pinar","Directa Centro","3","","","",""
"055P","Sitva-26","055P","El Pinar Periférica","Directa Centro","3","","","",""
"56","Sitva-26","56","La Esperanza","Directa Centro","3","","","",""
"57","Sitva-27","57","Bello Oriente","Directa Centro","3","","","",""
"60","Sitva-26","60","Santo Domingo","Directa Centro","3","","","",""
"90","Sitva-22","90","Pinal","Directa Centro","3","","","",""
"91","Sitva-22","91","Alcázares de Sucre","Directa Centro","3","","","",""
"91","Sitva-22","91","Llanadas","Directa Centro","3","","","",""
"091F","Sitva-22","091F","El Faro","Directa Centro","3","","","",""
"69","Sitva-27","69","El Jardín","Directa Centro","3","","","",""
"87","Sitva-28","87","Pinar Torres","Directa Centro","3","","","",""
"087 Horario Esp","Sitva-28","087 Horario Esp","Pinar Torres horario esp","Directa Centro","3","","","",""
"88","Sitva-28","88","Pinar Torres","Directa Centro","3","","","",""
"031 P-SD","Sitva-23","031 P-SD","Popular Centro San Diego","Directa Centro","3","","","",""
