trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MM-A-LESTRELLA-SATERDAY,04:50:00,04:50:00,MM-SAAA,10,,,,
MM-A-LESTRELLA-SATERDAY,04:51:00,04:51:00,MM-ALP,11,,,,
MM-A-LESTRELLA-SATERDAY,04:52:00,04:52:00,MM-XPO,12,,,,
MM-A-LESTRELLA-SATERDAY,04:53:00,04:53:00,MM-INDA,13,,,,
MM-A-LESTRELLA-SATERDAY,04:56:00,04:56:00,MM-POB,14,,,,
MM-A-LESTRELLA-SATERDAY,04:58:00,04:58:00,MM-CAT,15,,,,
MM-A-LESTRELLA-SATERDAY,05:00:00,05:00:00,MM-AYU,16,,,,
MM-A-LESTRELLA-SATERDAY,05:02:00,05:02:00,MM-ENV,17,,,,
MM-A-LESTRELLA-SATERDAY,05:04:00,05:04:00,MM-ITA,18,,,,
MM-A-LESTRELLA-SATERDAY,05:06:00,05:06:00,MM-BAN,19,,,,
MM-A-LESTRELLA-SATERDAY,05:07:00,05:07:00,MM-STA,20,,,,
MM-A-LESTRELLA-SUNDAY,05:00:00,05:00:00,MM-NIQ,0,,,,
MM-A-LESTRELLA-SUNDAY,05:02:00,05:02:00,MM-BEO,1,,,,
MM-A-LESTRELLA-SUNDAY,05:05:00,05:05:00,MM-MAD,2,,,,
MM-A-LESTRELLA-SUNDAY,05:07:00,05:07:00,MM-ACEA,3,,,,
MM-A-LESTRELLA-SUNDAY,05:09:00,05:09:00,MM-TRI,4,,,,
MM-A-LESTRELLA-SUNDAY,05:11:00,05:11:00,MM-CAR,5,,,,
MM-A-LESTRELLA-SUNDAY,05:13:00,05:13:00,MM-UNI,6,,,,
MM-A-LESTRELLA-SUNDAY,05:15:00,05:15:00,MM-HOSA,7,,,,
MM-A-LESTRELLA-SUNDAY,05:16:00,05:16:00,MM-PRAA,8,,,,
MM-A-LESTRELLA-SUNDAY,05:18:00,05:18:00,MM-BER,9,,,,
MM-A-LESTRELLA-SUNDAY,05:20:00,05:20:00,MM-SAAA,10,,,,
MM-A-LESTRELLA-SUNDAY,05:21:00,05:21:00,MM-ALP,11,,,,
MM-A-LESTRELLA-SUNDAY,05:22:00,05:22:00,MM-XPO,12,,,,
MM-A-LESTRELLA-SUNDAY,05:23:00,05:23:00,MM-INDA,13,,,,
MM-A-LESTRELLA-SUNDAY,05:26:00,05:26:00,MM-POB,14,,,,
MM-A-LESTRELLA-SUNDAY,05:28:00,05:28:00,MM-CAT,15,,,,
MM-A-LESTRELLA-SUNDAY,05:30:00,05:30:00,MM-AYU,16,,,,
MM-A-LESTRELLA-SUNDAY,05:32:00,05:32:00,MM-ENV,17,,,,
MM-A-LESTRELLA-SUNDAY,05:34:00,05:34:00,MM-ITA,18,,,,
MM-A-LESTRELLA-SUNDAY,05:36:00,05:36:00,MM-BAN,19,,,,
MM-A-LESTRELLA-SUNDAY,05:37:00,05:37:00,MM-STA,20,,,,
MM-A-NIQUIA-SUNDAY,05:00:00,05:00:00,MM-STA,0,,,,
MM-A-NIQUIA-SUNDAY,05:01:00,05:01:00,MM-BAN,1,,,,
MM-A-NIQUIA-SUNDAY,05:03:00,05:03:00,MM-ITA,2,,,,
MM-A-NIQUIA-SUNDAY,05:05:00,05:05:00,MM-ENV,3,,,,
MM-A-NIQUIA-SUNDAY,05:07:00,05:07:00,MM-AYU,4,,,,
MM-A-NIQUIA-SUNDAY,05:09:00,05:09:00,MM-CAT,5,,,,
MM-A-NIQUIA-SUNDAY,05:11:00,05:11:00,MM-POB,6,,,,
MM-A-NIQUIA-SUNDAY,05:14:00,05:14:00,MM-INDA,7,,,,
MM-A-NIQUIA-SUNDAY,05:15:00,05:15:00,MM-XPO,8,,,,
MM-A-NIQUIA-SUNDAY,05:16:00,05:16:00,MM-ALP,9,,,,
MM-A-NIQUIA-SUNDAY,05:18:00,05:18:00,MM-SAAA,10,,,,
MM-A-NIQUIA-SUNDAY,05:19:00,05:19:00,MM-BER,11,,,,
MM-A-NIQUIA-SUNDAY,05:21:00,05:21:00,MM-PRAA,12,,,,
MM-A-NIQUIA-SUNDAY,05:22:00,05:22:00,MM-HOSA,13,,,,
MM-A-NIQUIA-SUNDAY,05:24:00,05:24:00,MM-UNI,14,,,,
MM-A-NIQUIA-SUNDAY,05:26:00,05:26:00,MM-CAR,15,,,,
MM-A-NIQUIA-SUNDAY,05:28:00,05:28:00,MM-TRI,16,,,,
MM-A-NIQUIA-SUNDAY,05:30:00,05:30:00,MM-ACEA,17,,,,
MM-A-NIQUIA-SUNDAY,05:32:00,05:32:00,MM-MAD,18,,,,
MM-A-NIQUIA-SUNDAY,05:34:00,05:34:00,MM-BEO,19,,,,
MM-A-NIQUIA-SUNDAY,05:35:00,05:35:00,MM-NIQ,20,,,,
MM-A-NIQUIA-SATERDAY,04:30:00,04:30:00,MM-STA,0,,,,
MM-A-NIQUIA-SATERDAY,04:31:00,04:31:00,MM-BAN,1,,,,
MM-A-NIQUIA-SATERDAY,04:33:00,04:33:00,MM-ITA,2,,,,
MM-A-NIQUIA-SATERDAY,04:35:00,04:35:00,MM-ENV,3,,,,
MM-A-NIQUIA-SATERDAY,04:37:00,04:37:00,MM-AYU,4,,,,
MM-A-NIQUIA-SATERDAY,04:39:00,04:39:00,MM-CAT,5,,,,
MM-A-NIQUIA-SATERDAY,04:42:00,04:42:00,MM-POB,6,,,,
MM-A-NIQUIA-SATERDAY,04:44:00,04:44:00,MM-INDA,7,,,,
MM-A-NIQUIA-SATERDAY,04:46:00,04:46:00,MM-XPO,8,,,,
MM-A-NIQUIA-SATERDAY,04:47:00,04:47:00,MM-ALP,9,,,,
MM-A-NIQUIA-SATERDAY,04:48:00,04:48:00,MM-SAAA,10,,,,
MM-A-NIQUIA-SATERDAY,04:50:00,04:50:00,MM-BER,11,,,,
MM-A-NIQUIA-SATERDAY,04:51:00,04:51:00,MM-PRAA,12,,,,
MM-A-NIQUIA-SATERDAY,04:53:00,04:53:00,MM-HOSA,13,,,,
MM-A-NIQUIA-SATERDAY,04:54:00,04:54:00,MM-UNI,14,,,,
MM-A-NIQUIA-SATERDAY,04:56:00,04:56:00,MM-CAR,15,,,,
MM-A-NIQUIA-SATERDAY,04:58:00,04:58:00,MM-TRI,16,,,,
MM-A-NIQUIA-SATERDAY,05:00:00,05:00:00,MM-ACEA,17,,,,
MM-A-NIQUIA-SATERDAY,05:02:00,05:02:00,MM-MAD,18,,,,
MM-A-NIQUIA-SATERDAY,05:04:00,05:04:00,MM-BEO,19,,,,
MM-A-NIQUIA-SATERDAY,05:06:00,05:06:00,MM-NIQ,20,,,,
MM-A-NIQUIA-WEEK,04:30:00,04:30:00,MM-STA,0,,,,
MM-A-NIQUIA-WEEK,04:31:00,04:31:00,MM-BAN,1,,,,
MM-A-NIQUIA-WEEK,04:33:00,04:33:00,MM-ITA,2,,,,
MM-A-NIQUIA-WEEK,04:35:00,04:35:00,MM-ENV,3,,,,
MM-A-NIQUIA-WEEK,04:37:00,04:37:00,MM-AYU,4,,,,
MM-A-NIQUIA-WEEK,04:39:00,04:39:00,MM-CAT,5,,,,
MM-A-NIQUIA-WEEK,04:42:00,04:42:00,MM-POB,6,,,,
MM-A-NIQUIA-WEEK,04:44:00,04:44:00,MM-INDA,7,,,,
MM-A-NIQUIA-WEEK,04:46:00,04:46:00,MM-XPO,8,,,,
MM-A-NIQUIA-WEEK,04:47:00,04:47:00,MM-ALP,9,,,,
MM-A-NIQUIA-WEEK,04:48:00,04:48:00,MM-SAAA,10,,,,
MM-A-NIQUIA-WEEK,04:50:00,04:50:00,MM-BER,11,,,,
MM-A-NIQUIA-WEEK,04:51:00,04:51:00,MM-PRAA,12,,,,
MM-A-NIQUIA-WEEK,04:53:00,04:53:00,MM-HOSA,13,,,,
MM-A-NIQUIA-WEEK,04:54:00,04:54:00,MM-UNI,14,,,,
MM-A-NIQUIA-WEEK,04:56:00,04:56:00,MM-CAR,15,,,,
MM-A-NIQUIA-WEEK,04:58:00,04:58:00,MM-TRI,16,,,,
MM-A-NIQUIA-WEEK,05:00:00,05:00:00,MM-ACEA,17,,,,
MM-A-NIQUIA-WEEK,05:02:00,05:02:00,MM-MAD,18,,,,
MM-A-NIQUIA-WEEK,05:04:00,05:04:00,MM-BEO,19,,,,
MM-A-NIQUIA-WEEK,05:06:00,05:06:00,MM-NIQ,20,,,,
MM-T-A-ORIENTE-WEEK,04:30:00,04:30:00,MM-SABTA,0,,,,
MM-T-A-ORIENTE-WEEK,04:32:00,04:32:00,MM-JOS,1,,,,
MM-T-A-ORIENTE-WEEK,04:34:00,04:34:00,MM-PAG,2,,,,
MM-T-A-ORIENTE-WEEK,04:36:00,04:36:00,MM-BIT,3,,,,
MM-T-A-ORIENTE-WEEK,04:38:00,04:38:00,MM-BUE,4,,,,
MM-T-A-ORIENTE-WEEK,04:41:00,04:41:00,MM-MIR,5,,,,
MM-T-A-ORIENTE-WEEK,04:44:00,04:44:00,MM-LOY,6,,,,
MM-T-A-ORIENTE-WEEK,04:46:00,04:46:00,MM-ALE,7,,,,
MM-T-A-ORIENTE-WEEK,04:48:00,04:48:00,MM-ORITA,8,,,,
MM-T-A-ORIENTE-SATERDAY,04:30:00,04:30:00,MM-SABTA,0,,,,
MM-T-A-ORIENTE-SATERDAY,04:32:00,04:32:00,MM-JOS,1,,,,
MM-T-A-ORIENTE-SATERDAY,04:34:00,04:34:00,MM-PAG,2,,,,
MM-T-A-ORIENTE-SATERDAY,04:36:00,04:36:00,MM-BIT,3,,,,
MM-T-A-ORIENTE-SATERDAY,04:38:00,04:38:00,MM-BUE,4,,,,
MM-T-A-ORIENTE-SATERDAY,04:41:00,04:41:00,MM-MIR,5,,,,
MM-T-A-ORIENTE-SATERDAY,04:44:00,04:44:00,MM-LOY,6,,,,
MM-T-A-ORIENTE-SATERDAY,04:46:00,04:46:00,MM-ALE,7,,,,
MM-T-A-ORIENTE-SATERDAY,04:48:00,04:48:00,MM-ORITA,8,,,,
MM-T-A-ORIENTE-SUNDAY,05:00:00,05:00:00,MM-SABTA,0,,,,
MM-T-A-ORIENTE-SUNDAY,05:02:00,05:02:00,MM-JOS,1,,,,
MM-T-A-ORIENTE-SUNDAY,05:04:00,05:04:00,MM-PAG,2,,,,
MM-T-A-ORIENTE-SUNDAY,05:06:00,05:06:00,MM-BIT,3,,,,
MM-T-A-ORIENTE-SUNDAY,05:08:00,05:08:00,MM-BUE,4,,,,
MM-T-A-ORIENTE-SUNDAY,05:11:00,05:11:00,MM-MIR,5,,,,
MM-T-A-ORIENTE-SUNDAY,05:14:00,05:14:00,MM-LOY,6,,,,
MM-T-A-ORIENTE-SUNDAY,05:16:00,05:16:00,MM-ALE,7,,,,
MM-T-A-ORIENTE-SUNDAY,05:18:00,05:18:00,MM-ORITA,8,,,,
MM-T-A-SANTONIO-WEEK,04:30:00,04:30:00,MM-ORITA,0,,,,
MM-T-A-SANTONIO-WEEK,04:32:00,04:32:00,MM-ALE,1,,,,
MM-T-A-SANTONIO-WEEK,04:34:00,04:34:00,MM-LOY,2,,,,
MM-T-A-SANTONIO-WEEK,04:36:00,04:36:00,MM-MIR,3,,,,
MM-T-A-SANTONIO-WEEK,04:38:00,04:38:00,MM-BUE,4,,,,
MM-T-A-SANTONIO-WEEK,04:41:00,04:41:00,MM-BIT,5,,,,
MM-T-A-SANTONIO-WEEK,04:44:00,04:44:00,MM-PAG,6,,,,
MM-T-A-SANTONIO-WEEK,04:46:00,04:46:00,MM-JOS,7,,,,
MM-T-A-SANTONIO-WEEK,04:48:00,04:48:00,MM-SABTA,8,,,,
MM-T-A-SANTONIO-SATERDAY,04:30:00,04:30:00,MM-ORITA,0,,,,
MM-T-A-SANTONIO-SATERDAY,04:32:00,04:32:00,MM-ALE,1,,,,
MM-T-A-SANTONIO-SATERDAY,04:34:00,04:34:00,MM-LOY,2,,,,
MM-T-A-SANTONIO-SATERDAY,04:36:00,04:36:00,MM-MIR,3,,,,
MM-T-A-SANTONIO-SATERDAY,04:38:00,04:38:00,MM-BUE,4,,,,
MM-T-A-SANTONIO-SATERDAY,04:41:00,04:41:00,MM-BIT,5,,,,
MM-T-A-SANTONIO-SATERDAY,04:44:00,04:44:00,MM-PAG,6,,,,
MM-T-A-SANTONIO-SATERDAY,04:46:00,04:46:00,MM-JOS,7,,,,
MM-T-A-SANTONIO-SATERDAY,04:48:00,04:48:00,MM-SABTA,8,,,,
MM-T-A-SANTONIO-SUNDAY,05:00:00,05:00:00,MM-ORITA,0,,,,
MM-T-A-SANTONIO-SUNDAY,05:02:00,05:02:00,MM-ALE,1,,,,
MM-T-A-SANTONIO-SUNDAY,05:04:00,05:04:00,MM-LOY,2,,,,
MM-T-A-SANTONIO-SUNDAY,05:06:00,05:06:00,MM-MIR,3,,,,
MM-T-A-SANTONIO-SUNDAY,05:08:00,05:08:00,MM-BUE,4,,,,
MM-T-A-SANTONIO-SUNDAY,05:11:00,05:11:00,MM-BIT,5,,,,
MM-T-A-SANTONIO-SUNDAY,05:14:00,05:14:00,MM-PAG,6,,,,
MM-T-A-SANTONIO-SUNDAY,05:16:00,05:16:00,MM-JOS,7,,,,
MM-T-A-SANTONIO-SUNDAY,05:18:00,05:18:00,MM-SABTA,8,,,,
MM-1-PARANJUEZ-WEEK,04:18:00,04:18:00,MM-UdeM12,0,,,,
MM-1-PARANJUEZ-WEEK,04:19:00,04:19:00,MM-LosA,1,,,,
MM-1-PARANJUEZ-WEEK,04:21:00,04:21:00,MM-LaPa,2,,,,
MM-1-PARANJUEZ-WEEK,04:23:00,04:23:00,MM-Pbel,3,,,,
MM-1-PARANJUEZ-WEEK,04:26:00,04:26:00,MM-Ros,4,,,,
MM-1-PARANJUEZ-WEEK,04:28:00,04:28:00,MM-Fat,5,,,,
MM-1-PARANJUEZ-WEEK,04:30:00,04:30:00,MM-Nut,6,,,,
MM-1-PARANJUEZ-WEEK,04:33:00,04:33:00,MM-IND12,7,,,,
MM-1-PARANJUEZ-WEEK,04:37:00,04:37:00,MM-PlMa,8,,,,
