"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"082 V-LAD","FULLWEEK","082 V-LAD-1","Villa Hermosa - Los Ángeles - Directa","","1","","082 V-LAD-1","0","2"
"37 - 39","FULLWEEK","37 - 39-0","Ferrocarril Minorista","","0","","37 - 39-0","0","2"
"085 L C","FULLWEEK","085 L C-1","La Cruz","","1","","085 L C-1","0","2"
"031 P-C","FULLWEEK","031 P-C-0","Popular Centro","","0","","031 P-C-0","0","2"
"031 P-F","FULLWEEK","031 P-F-0","Popular Ferrocarril","","0","","031 P-F-0","0","2"
"080 V-M","FULLWEEK","080 V-M-0","Villa Hermosa - La Mansión","","0","","080 V-M-0","0","2"
"080 V-O","FULLWEEK","080 V-O-0","Villa Hermosa - La Mansión-Directa Oriental","","0","","080 V-O-0","0","2"
"C23i","FULLWEEK","C23i-0","La Asomadera-estación San Javier","","0","","C23i-0","0","2"
"C23i","FULLWEEK","C23i-0","El Patio-estación San Javier","","0","","C23i-0","0","2"
"C23i","FULLWEEK","C23i-0","Las Playas-estación San Javier","","0","","C23i-0","0","2"
"C23i","FULLWEEK","C23i-0","Pedregal Bajo-estación San Javier","","0","","C23i-0","0","2"
"57","FULLWEEK","57-1","Bello Oriente","","1","","57-1","0","2"
"055P","FULLWEEK","055P-1","El Pinar Periférica","","1","","055P-1","0","2"
"087 Horario Esp","FULLWEEK","087 Horario Esp-1","Pinar Torres horario esp","","1","","087 Horario Esp-1","0","2"
"105","FULLWEEK","105-1","Golondrinas","","1","","105-1","0","2"
"90","FULLWEEK","90-1","Pinal","","1","","90-1","0","2"
"55","FULLWEEK","55-0","El Pinar","","0","","55-0","0","2"
"56","FULLWEEK","56-0","La Esperanza","","0","","56-0","0","2"
"60","FULLWEEK","60-0","Santo Domingo","","0","","60-0","0","2"
"91","FULLWEEK","91-1","Alcázares de Sucre","","1","","91-1","0","2"
"289","FULLWEEK","289-1","Pilarica Calle 96","","1","","289-1","0","2"
"136","FULLWEEK","136-1","San Lucas - Las Palmas","","1","","136-1","0","2"
"105","FULLWEEK","105-1","El Faro","","1","","105-1","0","2"
"106","FULLWEEK","106-1","Tres Esquinas","","1","","106-1","0","2"
"103","FULLWEEK","103-1","Sierra","","1","","103-1","0","2"
"103","FULLWEEK","103-1","Sierra Minorista","","1","","103-1","0","2"
"103","FULLWEEK","103-1","Mirlas","","1","","103-1","0","2"
"103","FULLWEEK","103-1","Mirlas Minorista","","1","","103-1","0","2"
"C23_Alterna","FULLWEEK","C23_Alterna-1","San Cristóbal-La Asomadera-Centro","","1","","C23_Alterna-1","0","2"
"C23","FULLWEEK","C23-1","San Cristóbal-San Javier-La Loma-Centro","","1","","C23-1","0","2"
"318B","FULLWEEK","318B-1","San Antonio de Prado","","1","","318B-1","0","2"
"69","FULLWEEK","69-0","El Jardín","","0","","69-0","0","2"
"88","FULLWEEK","88-0","Pinar Torres","","0","","88-0","0","2"
"93","FULLWEEK","93-1","Caicedo La Toma","","1","","93-1","0","2"
"031 P-SD","FULLWEEK","031 P-SD-0","Popular Centro San Diego","","0","","031 P-SD-0","0","2"
"97","FULLWEEK","97-1","Cauces-Quintalinda","","1","","97-1","0","2"
"97","FULLWEEK","97-1","Cauces-Quintalinda","","1","","97-1","0","2"
"24","FULLWEEK","24-0","Playón de los Comuneros","","0","","24-0","0","2"
"37 - 39","FULLWEEK","37 - 39-0","Villanueva","","0","","37 - 39-0","0","2"
"096 Horario Esp","FULLWEEK","096 Horario Esp-0","Buenos Aires","","0","","096 Horario Esp-0","0","2"
"51-52 CV-SD","FULLWEEK","51-52 CV-SD-0","Campo Valdés San Diego","","0","","51-52 CV-SD-0","0","2"
"97","FULLWEEK","97-0","Quintalinda-El Vergel","","0","","97-0","0","2"
"102","FULLWEEK","102-1","Ávila-Iglesia Cataluña","","1","","102-1","0","2"
"102D","FULLWEEK","102D-1","Ávila-Iglesia Cataluña","","1","","102D-1","0","2"
"99","FULLWEEK","99-0","Cerros de Quintalinda","","0","","99-0","0","2"
"95","FULLWEEK","95-0","Perlas","","0","","95-0","0","2"
"242","FULLWEEK","242-1","La Divisa","","1","","242-1","0","2"
"242","FULLWEEK","242-1","La Quiebra","","1","","242-1","0","2"
"95","FULLWEEK","95-0","Villatina  ","","0","","95-0","0","2"
"085 L H MINO","FULLWEEK","085 L H MINO-0","La Honda Minorista","","0","","085 L H MINO-0","0","2"
"57","FULLWEEK","57-0","Bello Oriente","","0","","57-0","0","2"
"055P","FULLWEEK","055P-0","El Pinar Periférica","","0","","055P-0","0","2"
"141","FULLWEEK","141-1","Guayabal La Raya","","1","","141-1","0","2"
"087 Horario Esp","FULLWEEK","087 Horario Esp-0","Pinar Torres horario esp","","0","","087 Horario Esp-0","0","2"
"191","FULLWEEK","191-0","Laureles Éxito","","0","","191-0","0","2"
"253iA","FULLWEEK","253iA-0","Robledo Aures integrada","","0","","253iA-0","0","2"
