"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code","agency_email"
"54579","","CR 37 96-19, Medellin","America/Bogota","-75.54674752387929","6.287148082244825","","","","","America/Bogota","","","",""
"54580","","CR 36A 75C-37, Medellin","America/Bogota","-75.546739045997001","6.26967120586311","","","","","America/Bogota","","","",""
"54581","","CR 36A 75C-28, Medellin","America/Bogota","-75.546729319835052","6.269601553218624","","","","","America/Bogota","","","",""
"54582","","CL 52 23-108, Medellin","America/Bogota","-75.546709531494301","6.241084334659895","","","","","America/Bogota","","","",""
"54583","","CL 52 23-71, Medellin","America/Bogota","-75.546695739205532","6.240972404111391","","","","","America/Bogota","","","",""
"54584","","CL 46 x  16E  , Medellin","America/Bogota","-75.546693553318917","6.235091767407848","","","","","America/Bogota","","","",""
"54585","","CR 42B 109-04, Medellin","America/Bogota","-75.546690810356267","6.298156585164136","","","","","America/Bogota","","","",""
"54586","","CR 10 x CL 12, Medellin","America/Bogota","-75.546686004742753","6.213348058997323","","","","","America/Bogota","","","",""
"54587","","CL 49 x CR 18, Medellin","America/Bogota","-75.546679725427126","6.237823494454291","","","","","America/Bogota","","","",""
"54588","","CL 71A 34-25, Medellin","America/Bogota","-75.546663081356044","6.266571329655242","","","","","America/Bogota","","","",""
"54589","","CL 95A x CR 36, Medellin","America/Bogota","-75.546635810726897","6.286131850784545","","","","","America/Bogota","","","",""
"54590","","CL 49 x CR 18, Medellin","America/Bogota","-75.546597379333079","6.237581262126839","","","","","America/Bogota","","","",""
"54591","","CR 36A 75D-71, Medellin","America/Bogota","-75.546575669667476","6.270524229243399","","","","","America/Bogota","","","",""
"54593","","CR 36A 75D-74, Medellin","America/Bogota","-75.546521323179306","6.270522374962402","","","","","America/Bogota","","","",""
"54594","","CL 46 x CR 16E, Medellin","America/Bogota","-75.546486213159994","6.234756436487024","","","","","America/Bogota","","","",""
"54595","","CR 40C x CL 21C, Bello","America/Bogota","-75.546474493558406","6.308782134505702","","","","","America/Bogota","","","",""
"54596","","CR 37 98D-05, Medellin","America/Bogota","-75.546438763189812","6.288768049840271","","","","","America/Bogota","","","",""
