"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"Anillo 3H Carrera 65 Horario Esp","Sitva-18","Anillo 3H Carrera 65 Horario Esp","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
"Anillo F1 Carrera 65","Sitva-18","Anillo F1 Carrera 65","Av. Greiff - Puente Horacio Toro","Directa Centro","3","","","",""
"Anillo F2 Carrera 65","Sitva-18","Anillo F2 Carrera 65","Av. Regional - San Diego","Directa Centro","3","","","",""
"Anillo F3 Carrera 65","Sitva-18","Anillo F3 Carrera 65","Parque Los Periodistas","Directa Centro","3","","","",""
"Anillo 1 Carrera 73","Sitva-18","Anillo 1 Carrera 73","Carabobo - Av. Greiff","Directa Centro","3","","","",""
"Anillo 2 Carrera 73","Sitva-18","Anillo 2 Carrera 73","El Hueco - Parque Berrío","Directa Centro","3","","","",""
"Anillo 3ah Carrera 73","Sitva-18","Anillo 3ah Carrera 73","Alpujarra - Oriental sentido antihorario","Directa Centro","3","","","",""
"Anillo 3h Carrera 73","Sitva-18","Anillo 3h Carrera 73","Alpujarra - Oriental sentido horario","Directa Centro","3","","","",""
"Anillo F1 Carrera 73","Sitva-18","Anillo F1 Carrera 73","Av. Greiff - Puente Horacio Toro","Directa Centro","3","","","",""
"243","Sitva-7","243","La Quiebra","Directa Centro","3","","","",""
"C23_Alterna","Sitva-20","C23_Alterna","San Cristóbal-La Asomadera-Centro","Directa Centro","3","","","",""
"C23","Sitva-20","C23","San Cristóbal-San Javier-La Loma-Centro","Directa Centro","3","","","",""
"132A","Sitva-6","132A","Poblado Éxito alterna","Directa Centro","3","","","",""
"132i","Sitva-6","132i","La Visitación, Oviedo, U. Eafit","Integrada","3","","","",""
"132iA","Sitva-6","132iA","La Visitación, Oviedo, U. Eafit alterna","Integrada","3","","","",""
"132ii","Sitva-6","132ii","Aguacatala - Poblado - Av. 34","Integrada","3","","","",""
"135","Sitva-6","135","Poblado Campestre","Directa Centro","3","","","",""
"135i","Sitva-6","135i","Los Yarumos San Lucas","Integrada","3","","","",""
"135ii","Sitva-6","135ii","Patio Bonito","Integrada","3","","","",""
"141","Sitva-14","141","Guayabal La Raya","Directa Centro","3","","","",""
"136A","Sitva-6","136A","Colinas del Viento - La Isla","Directa Centro","3","","","",""
"142","Sitva-14","142","Guayabal Viviendas del Sur","Directa Centro","3","","","",""
"142i","Sitva-14","142i","Metro Aguacatala","Integrada","3","","","",""
"318B","Sitva-10","318B","San Antonio de Prado","Directa Centro","3","","","",""
"C6-005","Sitva-0","C6-005","Cerros el Vergel - San José","Alimentadora","3","","","",""
"134iA","Sitva-6","134iA","CES, Chuscalito, Chacaltaya","Integrada","3","","","",""
"C6-005A","Sitva-0","C6-005A","Quinta Linda - San José","Alimentadora","3","","","",""
"C6-019","Sitva-0","C6-019","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
